"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160"
2992.41742430128,2993.51562359265,2993.7266639123,2996.66275945448,2998.8306583241,2993.49787886982,2994.35131432463,2996.70764856416,2996.08332718798,3001.06639788658,2999.12556384454,3008.75979904511,3001.72432277148,3003.11156872556,2999.83452568746,3000.84633502193,2997.44484503848,3004.22325407226,3000.44259500181,3004.25364378361,3006.50933526871,3002.65863158402,2999.24973768055,3006.0459414052,3007.93477493552,3007.42209360123,3007.44392202564,3003.22268185804,3003.51373434924,2997.80706821865,3001.84303878051,2995.60436044404,2996.65097485165,3002.48009132204,3006.14004537259,3004.72595727189,3000.97562041696,2997.34302605899,3000.23411754122,3008.99936320583,3004.85932198564,3004.65663715398,3006.20963654888,3005.51479547743,2998.74308272293,3010.28879545031,3001.48696778731,2998.9459290404,3000.26729465923,3006.0301160209,3004.56279859442,3005.01035754,3006.42110602497,3008.99221231514,3008.08439097815,3007.59443620829,3008.29374816313,3006.04661365188,3001.12550878762,2998.74873585612,2996.32491528415,3002.89680276218,2997.18880840328,2998.29614096452,2999.5284273114,3000.34667571898,2992.51563961895,2993.71307675952,2991.79415937226,2996.17836704913,2996.37548558283,2999.80399062804,2997.87419278916,3006.31537008407,2949.00698400745,2961.56131253288,2960.4328469837,2961.61833455768,2963.48310572068,2963.49057339266,2945.29191179044,2946.90649178166,2992.49912154305,2992.18795952041,2987.78158344325,2999.70183848818,3005.05960823596,3004.0512664861,3005.88870027913,3007.42515189902,3005.12556000465,3007.25060751563,3003.4656208847,2997.18107029976,3001.82902841968,3007.33096069285,3008.01553632605,3007.6293155376,3007.86379909105,3007.95275599824,2999.58512867743,3008.36855110142,3007.45459139148,3006.73079922254,3004.36349861153,3000.71933377108,3000.6959881251,3005.43783986104,3000.76516909372,3006.33599839633,3004.76363587443,3007.96256030215,3005.55974616645,3006.37331492768,3007.2242962324,3002.01604485669,2999.81723217996,3006.37264394834,3004.31494120552,3006.63668489361,3007.05889288419,3004.49428186633,3004.06832206424,3002.48865278948,3000.59992477999,3004.31121869385,2998.95642586707,3000.86831334036,3000.95970008004,3003.83503040833,3002.53396922041,3002.38565562069,2998.51865904246,2999.77682744183,3004.35149674941,2996.33474908871,2997.79790553144,2999.3141124195,3001.06919466016,2999.46159251392,3003.18177643777,3005.4203829056,3002.68413466989,3003.76949421494,3002.20221450983,3004.1152049121,2999.30364349336,2999.75184464244,2996.86601638604,2996.96164110896,2999.12404451338,2997.19914433055,2995.56430101555,2995.83270126529,2995.21592740313,2994.23745852707,2995.5260652115,2994.9836460547,2995.40875404669,2995.15132440587
2992.77614859552,2993.86271414454,2993.9883169552,2996.74100063494,2998.79755012092,2993.77372092506,2994.54987033951,2996.7571397178,2996.1586992618,3000.90780180016,2999.08128749176,3008.27295611077,3001.46239587842,3002.78229488561,2999.74996741896,3000.70885706101,2997.46819094618,3003.95260162225,3000.30374955736,3003.93153124848,3006.0564557196,3002.41771932071,2999.20621439416,3005.64377593667,3007.43505045188,3006.95817961511,3007.0065609634,3002.91541899901,3003.22201026526,2997.79099297659,3001.64077699408,2995.75477998365,2996.74958932355,3002.23748955745,3005.68841014136,3004.36550895935,3000.79533461656,2997.35374463542,3000.13587089659,3008.41597774903,3004.50824365958,3004.28083760614,3005.76993321438,3005.08750541345,2998.67221601051,3009.72610746347,3001.32923132296,2998.87520821152,3000.12991530099,3005.60740270372,3004.2143699774,3004.6500382861,3005.99358765953,3008.51110272134,3007.6199278843,3007.17102583913,3007.77866250199,3005.74422732677,3001.12506899856,2998.91914495968,2996.68224093427,3002.82915181014,2997.46050847214,2998.50477831331,2999.65813689342,3000.45759506078,2993.12544416518,2994.23857977996,2992.46331136161,2996.5322261152,2996.72016832739,2999.90697630417,2998.11298318553,3006.03147872642,2952.12957068897,2964.67419874363,2963.54266099015,2964.7221525224,2966.60405905234,2966.6115426949,2948.08174286729,2949.95954220595,2993.06875130889,2992.77421633675,2988.66679357012,2999.78829733403,3004.77819304078,3003.85843835218,3005.57033090548,3006.9040085703,3004.75196463333,3006.79071581781,3003.14960508781,2997.19104680506,3001.63939163374,3006.9029369184,3007.49053891748,3007.14673324042,3007.34872523305,3007.4300217552,2999.51507189905,3007.89788187809,3007.02101727889,3006.26768255748,3004.01738405136,3000.557008252,3000.49693252053,3005.02002459011,3000.58461512114,3005.90929317441,3004.29384659612,3007.3831099402,3005.1109658535,3005.82792283296,3006.64230096604,3001.72766463198,2999.6696881365,3005.86874029969,3003.93365183792,3006.05079440258,3006.47072860924,3004.05439691518,3003.68828061261,3002.18011598015,3000.36758880991,3003.85965138844,2998.81566503331,3000.62567634181,3000.72331513378,3003.45864116471,3002.22998992808,3002.04772069499,2998.40733422827,2999.57171464818,3003.8613241875,2996.38516844058,2997.75541897105,2999.18421745359,3000.79372269027,2999.29995937381,3002.77872953657,3004.8987578388,3002.31721932106,3003.3787287476,3001.90165625974,3003.66824981934,2999.15166721336,2999.58244021499,2996.96994103368,2996.97510793042,2999.01335764477,2997.22067908021,2995.76107929384,2995.99042765835,2995.52253959401,2994.54082295434,2995.72521290584,2995.28990336145,2995.63075705196,2995.46172882913
2993.13487288977,2994.20980469643,2994.2499699981,2996.8192418154,2998.76444191775,2994.0495629803,2994.7484263544,2996.80663087145,2996.23407133561,3000.74920571374,2999.03701113898,3007.78611317643,3001.20046898536,3002.45302104565,2999.66540915047,3000.57137910009,2997.49153685387,3003.68194917223,3000.16490411292,3003.60941871336,3005.60357617048,3002.1768070574,2999.16269110778,3005.24161046814,3006.93532596823,3006.494265629,3006.56919990116,3002.60815613998,3002.93028618128,2997.77491773452,3001.43851520764,2995.90519952326,2996.84820379545,3001.99488779286,3005.23677491013,3004.00506064681,3000.61504881615,2997.36446321185,3000.03762425197,3007.83259229223,3004.15716533352,3003.90503805829,3005.33022987987,3004.66021534947,2998.6013492981,3009.16341947662,3001.17149485861,2998.80448738263,2999.99253594275,3005.18468938653,3003.86594136038,3004.28971903221,3005.56606929409,3008.02999312753,3007.15546479046,3006.74761546996,3007.26357684085,3005.44184100166,3001.12462920951,2999.08955406324,2997.03956658439,3002.76150085809,2997.73220854101,2998.7134156621,2999.78784647545,3000.56851440258,2993.73524871141,2994.7640828004,2993.13246335095,2996.88608518127,2997.06485107196,3000.00996198029,2998.35177358191,3005.74758736878,2955.2521573705,2967.78708495437,2966.6524749966,2967.82597048711,2969.725012384,2969.73251199714,2950.87157394414,2953.01259263024,2993.63838107472,2993.36047315308,2989.55200369698,2999.87475617989,3004.49677784561,3003.66561021826,3005.25196153183,3006.38286524157,3004.378369262,3006.33082412,3002.83358929093,2997.20102331037,3001.44975484779,3006.47491314395,3006.96554150891,3006.66415094324,3006.83365137504,3006.90728751216,2999.44501512066,3007.42721265475,3006.58744316631,3005.80456589242,3003.67126949119,3000.39468273291,3000.29787691595,3004.60220931917,3000.40406114856,3005.48258795248,3003.8240573178,3006.80365957824,3004.66218554056,3005.28253073825,3006.06030569969,3001.43928440727,2999.52214409304,3005.36483665104,3003.55236247032,3005.46490391155,3005.88256433428,3003.61451196403,3003.30823916099,3001.87157917082,3000.13525283982,3003.40808408303,2998.67490419955,3000.38303934325,3000.48693018752,3003.08225192109,3001.92601063576,3001.70978576928,2998.29600941409,2999.36660185452,3003.3711516256,2996.43558779244,2997.71293241066,2999.05432248769,3000.51825072037,2999.13832623369,3002.37568263538,3004.377132772,3001.95030397222,3002.98796328026,3001.60109800965,3003.22129472657,2998.99969093337,2999.41303578753,2997.07386568132,2996.98857475189,2998.90267077615,2997.24221382988,2995.95785757213,2996.14815405142,2995.82915178489,2994.84418738162,2995.92436060018,2995.5961606682,2995.85276005722,2995.7721332524
2993.49359718402,2994.55689524832,2994.511623041,2996.89748299586,2998.73133371457,2994.32540503554,2994.94698236928,2996.85612202509,2996.30944340943,3000.59060962732,2998.9927347862,3007.29927024209,3000.93854209229,3002.12374720569,2999.58085088197,3000.43390113916,2997.51488276157,3003.41129672221,3000.02605866847,3003.28730617824,3005.15069662137,3001.93589479409,2999.1191678214,3004.83944499961,3006.43560148459,3006.03035164289,3006.13183883892,3002.30089328095,3002.6385620973,2997.75884249245,3001.23625342121,2996.05561906286,2996.94681826735,3001.75228602827,3004.7851396789,3003.64461233427,3000.43476301575,2997.37518178828,2999.93937760734,3007.24920683543,3003.80608700747,3003.52923851045,3004.89052654536,3004.23292528549,2998.53048258569,3008.60073148978,3001.01375839426,2998.73376655375,2999.85515658451,3004.76197606935,3003.51751274336,3003.92939977832,3005.13855092865,3007.54888353373,3006.69100169661,3006.32420510079,3006.74849117971,3005.13945467656,3001.12418942045,2999.25996316679,2997.39689223451,3002.69384990605,2998.00390860987,2998.92205301089,2999.91755605748,3000.67943374438,2994.34505325764,2995.28958582084,2993.8016153403,2997.23994424734,2997.40953381653,3000.11294765642,2998.59056397828,3005.46369601113,2958.37474405202,2970.89997116511,2969.76228900305,2970.92978845183,2972.84596571565,2972.85348129939,2953.66140502099,2956.06564305453,2994.20801084056,2993.94672996941,2990.43721382385,2999.96121502574,3004.21536265044,3003.47278208434,3004.93359215818,3005.86172191285,3004.00477389068,3005.87093242219,3002.51757349405,2997.21099981568,3001.26011806185,3006.0468893695,3006.44054410035,3006.18156864606,3006.31857751704,3006.38455326912,2999.37495834228,3006.95654343142,3006.15386905372,3005.34144922735,3003.32515493101,3000.23235721383,3000.09882131137,3004.18439404824,3000.22350717598,3005.05588273055,3003.35426803949,3006.22420921629,3004.21340522761,3004.73713864353,3005.47831043334,3001.15090418255,2999.37460004958,3004.8609330024,3003.17107310273,3004.87901342052,3005.29440005933,3003.17462701288,3002.92819770936,3001.56304236149,2999.90291686973,3002.95651677762,2998.53414336579,3000.1404023447,3000.25054524126,3002.70586267747,3001.62203134344,3001.37185084357,2998.1846845999,2999.16148906087,3002.88097906369,2996.48600714431,2997.67044585027,2998.92442752178,3000.24277875048,2998.97669309357,3001.97263573418,3003.85550770521,3001.58338862339,3002.59719781292,3001.30053975955,3002.77433963381,2998.84771465338,2999.24363136008,2997.17779032895,2997.00204157335,2998.79198390754,2997.26374857955,2996.15463585041,2996.30588044449,2996.13576397577,2995.14755180889,2996.12350829452,2995.90241797496,2996.07476306249,2996.08253767566
2993.8274970486,2994.87460675777,2994.75442622749,2996.96910887921,2998.70072768139,2994.57886345509,2995.13155379338,2996.90215817151,2996.37796519793,3000.44076501526,2998.95076809711,3006.84028037626,3000.68944602187,3001.81102757361,2999.5013226924,3000.30510246425,2997.53534141528,3003.1574115944,2999.89455635182,3002.98230235909,3004.72135759461,3001.70796401258,2999.07897284209,3004.45894562851,3005.96271194839,3005.59158499014,3005.72020590561,3002.00919513695,3002.36241508385,2997.74231939213,3001.04490136731,2996.19456925264,2997.0401308652,3001.52309474315,3004.35670127728,3003.30316798401,3000.26366420792,2997.38451050759,2999.84691808252,3006.69617708414,3003.47424066257,3003.17278403134,3004.47382481273,3003.82736013582,2998.46254911021,3008.06886006967,3000.8654465659,2998.66660127262,2999.72510874867,3004.36182107662,3003.18762700957,3003.58846441063,3004.73384750884,3007.09578271915,3006.25355234308,3005.92647786047,3006.26160276819,3004.85831346293,3001.13234652927,2999.43220330499,2997.7481721435,3002.63681683979,2998.2730817261,2999.13097787516,3000.05089973092,3000.79478464508,2994.938717824,2995.8023967149,2994.45229329086,2997.58655478499,2997.74899283378,3000.22054468365,2998.8284784767,3005.20058957341,2961.3970098496,2973.9230884391,2972.78133546329,2973.94408705268,2975.87890148124,2975.88643834711,2956.35636323342,2959.01862719989,2994.76234827339,2994.51692125422,2991.29413806008,3000.0525754686,3003.95366708186,3003.29646772694,3004.63663535455,3005.36732435962,3003.65112132097,3005.43706101131,3002.21784679957,2997.21912538652,3001.08113439202,3005.64334992456,3005.94332941429,3005.72590374525,3005.83127041863,3005.88966733923,2999.30898865252,3006.51231292694,3005.7450300634,3004.90280857598,3002.99753598349,3000.07850695146,2999.90963446462,3003.78812630444,3000.05093627137,3004.65263355586,3002.90477596804,3005.67384532477,3003.78725393172,3004.21687632509,3004.92430119151,3000.87420279791,2999.22980636475,3004.38344542898,3002.81142506451,3004.31997426026,3004.73476692908,3002.75610021451,3002.56552402352,3001.26721558343,2999.67642219213,3002.52409126239,2998.39327893603,2999.90573491481,3000.02257116595,3002.34582738076,3001.33019825931,3001.04695731242,2998.07204115502,2998.95984352356,3002.41015213752,2996.52457306917,2997.62340162778,2998.79575864058,2999.9755034877,2998.8163498454,3001.58559476453,3003.35723520201,3001.23089322274,3002.22358904371,3001.01139039233,3002.34628674093,2998.69677775049,2999.07690329062,2997.26701329883,2997.00757142405,2998.68164088093,2997.27748150991,2996.33169524833,2996.44672244957,2996.41369803904,2995.42343363717,2996.30269809843,2996.18170359707,2996.27610093982,2996.36412055426
2994.14974772809,2995.17853177109,2994.98838387476,2997.0376304487,2998.67129582389,2994.82181806372,2995.30956276714,2996.94657301105,2996.44327240134,3000.29502714588,2998.90988524761,3006.39436092354,3000.44637098113,3001.50607621797,2999.42415493252,3000.18037665669,2997.55444518768,3002.91139474967,2999.76649989298,3002.68532702648,3004.30306526282,3001.48612495952,2999.04033971398,3004.08861335421,3005.50241505881,3005.16461904925,3005.32064622999,3001.72480093705,3002.09357781246,2997.72558612854,3000.85866884667,2996.32813730147,2997.13095548999,3001.3001964992,3003.93914828836,3002.97064148916,3000.09687651533,2997.39318701844,2999.75717423863,3006.15739214077,3003.15141917389,3002.82540747627,3004.06791687967,3003.43198968353,2998.39599209416,3007.55144972259,3000.72155737002,2998.60110447832,2999.59850132466,3003.9722518698,3002.86644276387,3003.25662518257,3004.33985029773,3006.65582538694,3005.82877953702,3005.54080276096,3005.78794628122,3004.58714179301,3001.14453784375,2999.6053026799,2998.09661501017,3002.58476635395,2998.54106903707,2999.34003765979,3000.18594874883,3000.91221511217,2995.52480849579,2996.30925166429,2995.09430205947,2997.92976385681,2998.08600054934,3000.33030564709,2999.06598194868,3004.94723672853,2964.37219877319,2976.90408047697,2975.75778807702,2976.91637753272,2978.87053386411,2978.87809450461,2959.0068011256,2961.92465394798,2995.30950958093,2995.0795735803,2992.13778877583,3000.14623604934,3003.70122520345,3003.12790267303,3004.34972667669,3004.8854776079,3003.30682716917,3005.01539995705,3001.92576397734,2997.22638238241,3000.90714983489,3005.25130006832,3005.45915213057,3005.28287018127,3005.35699323175,3005.40784959093,2999.24493688204,3006.08048913368,3005.34779834951,3004.475653611,3002.67859634174,2999.92863381305,2999.72507866028,3003.40197001681,2999.88211152479,3004.26039143511,3002.46480862378,3005.13713063619,3003.37172159512,3003.70840647961,3004.38342475412,3000.6029818602,2999.08630332131,3003.91835394096,3002.46193250038,3003.77353543469,3004.18852240796,3002.34759600592,3002.2110003867,3000.97735315215,2999.45266861667,3002.10064828009,2998.2523658925,2999.67480730824,2999.79854400075,3001.99346638544,3001.04406494067,3000.72818362455,2997.95877892561,2998.75982504119,3001.94840340146,2996.5575766199,2997.57421866334,2998.6676651155,2999.71207463587,2998.65661189574,3001.20606478554,3002.8699211917,3000.88516456952,3001.85803127729,3000.72759479115,3001.92710395014,2998.54632858876,2998.91143113681,2997.34933731602,2997.00937674844,2998.57145920664,2997.28755333553,2996.49950130626,2996.57964123694,2996.67817451952,2995.68641889996,2996.47252240378,2996.44833240687,2996.46774143825,2996.63217854979
2994.44582561229,2995.46040368727,2995.20880150263,2997.11206247748,2998.65195969866,2995.05219274738,2995.48084313462,2996.99526773867,2996.51708676796,3000.17050488169,2998.88176614644,3005.99002090726,3000.23917849637,3001.24187081493,2999.36117607612,3000.07267458917,2997.58513478178,3002.69273073988,2999.65810079285,3002.42253697982,3003.93093219632,3001.29202119695,2999.01202809336,3003.75718184848,3005.08917122804,3004.78071662407,3004.95836960907,3001.47733452849,3001.85680617126,2997.7241821493,3000.69774668857,2996.45855486137,2997.21899041061,3001.10665363009,3003.56941147972,3002.67630555149,2999.95641773909,2997.41346901853,2999.68228959475,3005.67363249232,3002.86538953802,3002.51955153944,3003.70709082004,3003.08332958319,2998.34828719627,3007.08613790999,3000.59535334048,2998.55259056827,2999.49309792735,3003.62527244504,3002.58201489937,3002.96134422995,3003.98755414501,3006.25507609585,3005.44299360649,3005.18857157045,3005.36230437613,3004.33404579031,3001.14153372935,2999.7417619914,2998.38539135381,3002.52704208629,2998.76044505223,2999.50729742438,3000.28842208577,3000.99839921339,2996.01859360483,2996.73466975925,2995.63565985638,2998.21784349532,2998.36409486223,3000.41131446202,2999.2578432721,3004.70873940851,2966.89652342264,2979.37403422348,2978.22973447902,2979.37914698502,2981.3389122682,2981.34646182852,2961.28940258067,2964.40335986889,2995.77242718715,2995.55619824439,2992.85249666384,3000.214925504,3003.46793286175,3002.96653039417,3004.0849616427,3004.45762247826,3003.00092327723,3004.63649846793,3001.67048789241,2997.24699262712,3000.75561955254,3004.89708561095,3005.02806515978,3004.88497653946,3004.93296359106,3004.9773590611,2999.19510062035,3005.69267279077,3004.9888520015,3004.09655656268,3002.39825222054,2999.80253286471,2999.57176414862,3003.06082269583,2999.7418289032,3003.91082620816,3002.08609643703,3004.66420240789,3003.00787160572,3003.26540724699,3003.90942184631,3000.37421335111,2998.97377616701,3003.50881838565,3002.15477622489,3003.29850011816,3003.7107454553,3001.99300988274,3001.90411279009,3000.73110340969,2999.27323615519,3001.7376676552,2998.14773979555,2999.48518160125,2999.61362647023,3001.69034093632,3000.8018066613,3000.46034115062,2997.87812977352,2998.60141612606,3001.55509432847,2996.60493117434,2997.5474799247,2998.56904943673,2999.49645687676,2998.53439694971,3000.88418997209,3002.44871340695,3000.59309095836,3001.54363939253,3000.48839844993,3001.56815723062,2998.43199620395,2998.78235279679,2997.44492673231,2997.02895975651,2998.48854186479,2997.31206800428,2996.66731191643,2996.71677832085,2996.93058045548,2995.93369692299,2996.64213738616,2996.70138801484,2996.65498231838,2996.88743958477
